task,student_seed,output_mse,output_mae,output_r2,output_pearson,output_corr2,task_metric,task_metric_name,margin_metric,teacher_output_std,teacher_margin_median,teacher_low_margin_fraction,teacher_majority_baseline,probability_mse,probability_mae,probability_r2,probability_pearson,probability_corr2,dynamic_logit_mse,dynamic_logit_mae,dynamic_logit_r2,dynamic_logit_pearson,dynamic_logit_corr2,probability_variation_mse,probability_variation_mae,probability_variation_r2,probability_variation_pearson,probability_variation_corr2,centered_logit_mse,centered_logit_mae,centered_logit_r2,centered_logit_pearson,centered_logit_corr2,kd_kl,teacher_probability_std,teacher_task_metric
binary,9000,1.4166364962875377e-05,0.0029758994933217764,0.7626233857927107,0.8788072589349678,0.7723021983567916,0.9316666722297668,sign_accuracy,1.0,0.007726497016847134,0.009577885270118713,0.5216666460037231,0.9020000100135803,,,,,,,,,,,,,,,,,,,,,,,
binary_1layer,9000,2.421110245620639e-08,0.00012413313379511237,0.9998872526469734,0.9999467979750338,0.9998935987805231,0.9980000257492065,sign_accuracy,1.0,0.014656373299658298,0.009809349663555622,0.5099999904632568,0.5020000040531158,,,,,,,,,,,,,,,,,,,,,,,
multiclass,9000,,,,,,0.9943333268165588,top1_agreement,,,0.016695331782102585,,0.9933333396911621,6.53697327379632e-08,0.0001997707295231521,0.996559354651645,0.9982783499593773,0.9965596639976169,6.510576440632576e-06,0.001992354402318597,0.7970554528867373,0.8928999867349721,0.7972703863113133,6.478713032720407e-08,0.00019889354007318616,0.7965819350012638,0.8926331612270342,0.7967939605221684,6.569062861672137e-06,0.0020010771695524454,0.9965493175755233,0.9982732949145476,0.9965495713395474,3.274758682891843e-06,0.004358959849923849,
regression,9000,7.575259685516357,2.1863179206848145,0.7916066793383273,0.890428998690876,0.792863801709636,0.7916066793383273,r2,,6.030165672302246,,,,,,,,,,,,,,,,,,,,,,,,,,
survival,9000,7.575259685516357,2.1863179206848145,0.7916066793383273,0.890428998690876,0.792863801709636,0.8489543514904939,concordance_index,,6.030165672302246,,,,,,,,,,,,,,,,,,,,,,,,,,0.941317787705447
