trial,student_seed,epochs,fine_tune_epochs,lr,batch,hidden,schedule,train_gamma,lbfgs_steps,elapsed_seconds,calibration_slope,calibration_intercept,test_r2_affine,train_mse,train_mae,train_r2,train_pearson,train_corr2,test_mse,test_mae,test_r2,test_pearson,test_corr2,relL2_mean,cos_std_mean,cos_pos_mean,act_corr_mean,act_cosine_mean,act_r2
oracle_clone,24000,0,0,0.002,512,64,constant,6.0,0,0.0,1.0000000025289704,1.7537494223553671e-06,0.9999999999997813,1.019986612532664e-11,2.5653362172306515e-06,0.9999999999997167,0.9999999999999002,0.9999999999998004,1.1107521152853295e-11,2.6556383545539575e-06,0.9999999999996945,0.9999999999998908,0.9999999999997815,0.0,1.0000000139077505,1.0000000139077505,0.999999980131785,1.0,1.0
baseline,9000,120,0,0.002,512,64,constant,6.0,0,5.886476666957606,1.0165937430840843,0.05842188036656953,0.7891653917276187,4.74205207824707,1.7310550212860107,0.8682650017916095,0.9319807789212818,0.8685881722787192,7.613557815551758,2.1981844902038574,0.7905530914046053,0.8898457949146208,0.7918255387272334,0.8589941877871752,0.07105992091819643,0.23818268954443436,0.06919959396485259,0.10254160314798355,-18.034351348876953
longer,9000,360,0,0.002,512,64,constant,6.0,0,17.017629833018873,1.003238279346977,0.12632240251691151,0.7623389204779712,2.922065019607544,1.3574254512786865,0.9188245458182414,0.9587880705616727,0.9192745642513751,8.61196231842041,2.323418140411377,0.7630872820996006,0.8786392093932854,0.7720068602832577,0.8582486627002557,0.0749926339679708,0.24705604401727518,0.07209095968088756,0.10226181894540787,-33.941680908203125
cosine,9000,360,0,0.002,512,64,cosine,6.0,0,16.6737836250104,1.0016156032379995,0.017029883372461908,0.7886871096332584,4.011579513549805,1.590443730354309,0.8885576651171742,0.9426388532763492,0.8885680077061506,7.673598289489746,2.196831703186035,0.7889014049927623,0.8902784785511069,0.7925957693712736,0.8574361264705658,0.07837774008318471,0.24082003155878434,0.07329823828962011,0.10854271799325943,-20.132057189941406
small_batch,9000,120,0,0.002,128,64,constant,6.0,0,8.626907625002787,1.0106504895888913,0.46065337565747644,0.7646363576169046,3.0863142013549805,1.4029866456985474,0.9142616850014829,0.9592368178540168,0.9201352727267003,8.709973335266113,2.3254196643829346,0.7603910128166314,0.8788105474108544,0.7723079782405656,0.8446544003983338,0.1156723352149129,0.26006642952561376,0.12557987663894893,0.136590376496315,-46.55533218383789
wide,9000,240,0,0.002,512,128,cosine,6.0,0,12.982568125007674,1.0025954407231887,-0.011483846064359505,0.7857879262593509,2.4000511169433594,1.2278693914413452,0.9333261811883717,0.9660932049192248,0.9333360805910993,7.771568775177002,2.2093148231506348,0.7862062458752231,0.8903330884542435,0.7926930083964718,0.8063734764854114,0.18568474805603424,0.31119438214227557,0.20058168038958685,0.23048783838748932,-12.077377319335938
unit_scale,9000,120,0,0.002,512,64,constant,1.0,0,5.627219459041953,1.0130455744536475,0.2703088664976744,0.780130848526163,3.2079124450683594,1.4273446798324585,0.9108836607016465,0.955517104024877,0.9130129360840876,7.988403797149658,2.248502731323242,0.78024119419242,0.8867964576553148,0.7864079573100146,0.8189025801916917,0.17599271801009309,0.3040881742849403,0.17004636590912317,0.20693513751029968,-11.522221565246582
curriculum,9000,120,120,0.002,512,64,cosine,1.0,0,11.507604124955833,1.002612385847935,-0.002887517003832214,0.7895571702380557,3.518646478652954,1.4909619092941284,0.9022514247408603,0.9498725075639382,0.9022577806258038,7.639315128326416,2.1797478199005127,0.7898445209026626,0.8906649431322249,0.7932840409247294,0.8179997610549132,0.18021828843435894,0.2973762832426777,0.17764290007762612,0.21711575984954834,-7.747060775756836
adam_lbfgs,9000,120,0,0.002,512,64,constant,6.0,30,6.1261273749987595,0.9994421831442125,-0.008554719175384768,0.7908649855338108,4.563533782958984,1.6967992782592773,0.8732242765075993,0.934465935085812,0.873226583835801,7.605495929718018,2.1905019283294678,0.7907748800580368,0.8911409453257585,0.7941321844360865,0.8591417503853639,0.07467942010456076,0.23979420117878666,0.07292072423733771,0.10195772349834442,-18.51044464111328
