trial,train_r2_mean,train_r2_std,test_r2_mean,test_r2_std,test_corr2_mean,test_corr2_std,test_r2_affine_mean,test_r2_affine_std,test_mse_mean,test_mse_std,relL2_mean_mean,relL2_mean_std,cos_std_mean_mean,cos_std_mean_std,act_corr_mean_mean,act_corr_mean_std,act_r2_mean,act_r2_std,elapsed_seconds_mean,elapsed_seconds_std
oracle_clone,0.9999999999997167,,0.9999999999996945,,0.9999999999997815,,0.9999999999997813,,1.1107521152853295e-11,,0.0,,1.0000000139077505,,0.999999980131785,,1.0,,0.0,
baseline,0.887622553844159,0.013996204071120805,0.8090369424051147,0.014424468286314582,0.8113263855248366,0.015441270042982264,0.8093552754188392,0.015797340917828733,6.94165563583374,0.5243405682590366,0.817699357320865,0.03724435587347934,0.15519939413371805,0.07171604724332545,0.16841736725184697,0.06689907212607225,-16.707532501220705,1.0185021901093227,5.400753433385399,0.18074097233704287
dropout_005,0.8687801265504115,0.010782161638130203,0.7980479133483038,0.011910975575859843,0.800771424089714,0.010671197162267818,0.7996949116236302,0.010934255838547383,7.3411153793334964,0.4329727183867908,0.8208079723268747,0.025029414851253595,0.1402638030521727,0.04612959996392763,0.15761684249000002,0.03261371146388659,-15.89264736175537,0.7375435151943813,5.8168601165874865,0.37760499234460787
curriculum,0.9066911519473171,0.00864932216267338,0.791721050846356,0.02079341168394029,0.7952789850538426,0.020045471681978014,0.7914707449881275,0.020824576601272005,7.571101951599121,0.7558565174391864,0.8149937574068705,0.0275662422475275,0.17916569305971886,0.02963736667086382,0.19160237339674496,0.02808174280329256,-7.580133247375488,0.5652745694702871,11.182605983398389,0.5766466893739113
